Step;RediscrTime/s;RANDOM-phi1-PHI-phi2;0-60-55-45;1-0-30-45;SumRediscrVolume=8e+06
364;171.103;0;4.05516e+06;3.94484e+06;
365;171.572;0;4.02318e+06;3.97682e+06;
366;172.041;0;3.99822e+06;4.00178e+06;
367;172.51;0;3.98073e+06;4.01927e+06;
368;172.979;0;3.96324e+06;4.03676e+06;
369;173.447;0;3.94659e+06;4.05341e+06;
370;173.916;0;3.93257e+06;4.06743e+06;
371;174.385;0;3.91855e+06;4.08145e+06;
372;174.854;0;3.90454e+06;4.09546e+06;
373;175.322;0;3.869e+06;4.131e+06;
374;175.791;0;3.8334e+06;4.1666e+06;
375;176.26;0;3.7978e+06;4.2022e+06;
376;176.729;0;3.77407e+06;4.22593e+06;
377;177.197;0;3.75422e+06;4.24578e+06;
378;177.666;0;3.73437e+06;4.26563e+06;
379;178.135;0;3.7131e+06;4.2869e+06;
380;178.604;0;3.69046e+06;4.30954e+06;
381;179.073;0;3.66782e+06;4.33218e+06;
382;179.541;0;3.64518e+06;4.35482e+06;
383;180.01;0;3.62254e+06;4.37746e+06;
384;180.479;0;3.5999e+06;4.4001e+06;
385;180.948;0;3.57727e+06;4.42273e+06;
386;181.416;0;3.55476e+06;4.44524e+06;
387;181.885;0;3.53225e+06;4.46775e+06;
388;182.354;0;3.50975e+06;4.49025e+06;
389;182.823;0;3.49762e+06;4.50238e+06;
390;183.292;0;3.48844e+06;4.51156e+06;
391;183.76;0;3.47926e+06;4.52074e+06;
392;184.229;0;3.45867e+06;4.54133e+06;
393;184.698;0;3.42819e+06;4.57181e+06;
394;185.167;0;3.3977e+06;4.6023e+06;
395;185.635;0;3.36845e+06;4.63155e+06;
396;186.104;0;3.34216e+06;4.65784e+06;
397;186.573;0;3.31588e+06;4.68412e+06;
398;187.042;0;3.29032e+06;4.70968e+06;
399;187.511;0;3.27885e+06;4.72115e+06;
400;187.979;0;3.26738e+06;4.73262e+06;
401;188.448;0;3.25591e+06;4.74409e+06;
402;188.917;0;3.23514e+06;4.76486e+06;
403;189.386;0;3.21213e+06;4.78787e+06;
404;189.854;0;3.18911e+06;4.81089e+06;
405;190.323;0;3.16205e+06;4.83795e+06;
406;190.792;0;3.13182e+06;4.86818e+06;
407;191.261;0;3.1016e+06;4.8984e+06;
408;191.73;0;3.07645e+06;4.92355e+06;
409;192.198;0;3.06214e+06;4.93786e+06;
410;192.667;0;3.04784e+06;4.95216e+06;
411;193.136;0;3.0328e+06;4.9672e+06;
412;193.605;0;3.00859e+06;4.99141e+06;
413;194.073;0;2.98439e+06;5.01561e+06;
414;194.542;0;2.96018e+06;5.03982e+06;
415;195.011;0;2.93598e+06;5.06402e+06;
416;195.48;0;2.91177e+06;5.08823e+06;
417;195.949;0;2.88757e+06;5.11243e+06;
418;196.417;0;2.867e+06;5.133e+06;
419;196.886;0;2.84897e+06;5.15103e+06;
420;197.355;0;2.83095e+06;5.16905e+06;
421;197.824;0;2.81566e+06;5.18434e+06;
422;198.292;0;2.80558e+06;5.19442e+06;
423;198.761;0;2.7955e+06;5.2045e+06;
424;199.23;0;2.78328e+06;5.21672e+06;
425;199.699;0;2.75185e+06;5.24815e+06;
426;200.168;0;2.72043e+06;5.27957e+06;
427;200.636;0;2.68901e+06;5.31099e+06;
428;201.105;0;2.66671e+06;5.33329e+06;
429;201.574;0;2.64594e+06;5.35406e+06;
430;202.043;0;2.62516e+06;5.37484e+06;
431;202.511;0;2.60597e+06;5.39403e+06;
432;202.98;0;2.58777e+06;5.41223e+06;
433;203.449;0;2.56958e+06;5.43042e+06;
434;203.918;0;2.55138e+06;5.44862e+06;
