Step;RediscrTime/s;SumRediscrVolume--8e+06--;X;lnt;ln(-ln(1-X))
453;212.824;5.80777e+06;0.725972;5.36047;0.258143
454;213.293;5.82161e+06;0.727701;5.36267;0.263022
455;213.762;5.83545e+06;0.729431;5.36486;0.267908
456;214.231;5.84928e+06;0.73116;5.36705;0.272802
457;214.7;5.87173e+06;0.733967;5.36924;0.280758
458;215.168;5.89851e+06;0.737314;5.37142;0.290276
459;215.637;5.92529e+06;0.740662;5.3736;0.299824
460;216.106;5.94615e+06;0.743268;5.37577;0.307281
461;216.575;5.95888e+06;0.74486;5.37794;0.311846
462;217.043;5.97162e+06;0.746453;5.3801;0.316419
463;217.512;5.98436e+06;0.748045;5.38226;0.320999
464;217.981;5.9971e+06;0.749637;5.38441;0.325587
465;218.45;6.00983e+06;0.751229;5.38656;0.330184
466;218.919;6.02257e+06;0.752821;5.3887;0.334788
467;219.387;6.04736e+06;0.75592;5.39084;0.343774
468;219.856;6.07299e+06;0.759123;5.39297;0.353098
469;220.325;6.09861e+06;0.762327;5.3951;0.362459
470;220.794;6.11888e+06;0.76486;5.39723;0.36989
471;221.262;6.13677e+06;0.767096;5.39935;0.376467
472;221.731;6.15465e+06;0.769331;5.40147;0.383064
473;222.2;6.17127e+06;0.771408;5.40358;0.389212
474;222.669;6.18633e+06;0.773291;5.40569;0.3948
475;223.138;6.20139e+06;0.775173;5.40779;0.400403
476;223.606;6.21645e+06;0.777056;5.40989;0.406021
