Time=468.308s,NGrains=947,Vref=8e+06,Mean=8447.73,Median=7828,StdDev=3499.87,Min=-1,Max=1e+36
Rank;Volume/Cells;IncubationTime/s;Ideal(RANDOMis0);ln(Vi/Vav);CumSumi/Vref*100%
0;9584;0;2;0.126197;52.1172
0;9602;0;2;0.128074;52.2372
0;9608;0;2;0.128698;52.3573
0;9608;0;2;0.128698;52.4774
0;9623;0;2;0.130258;52.5977
0;9626;0;2;0.13057;52.7181
0;9643;0;2;0.132335;52.8386
0;9653;0;2;0.133371;52.9593
0;9663;0;2;0.134406;53.08
0;9680;0;2;0.136164;53.201
0;9694;0;2;0.137609;53.3222
0;9695;0;2;0.137713;53.4434
0;9710;0;2;0.139259;53.5648
0;9712;0;2;0.139465;53.6862
0;9729;0;2;0.141213;53.8078
0;9741;0;2;0.142446;53.9296
0;9744;0;2;0.142754;54.0513
0;9754;0;2;0.14378;54.1733
0;9769;0;2;0.145316;54.2954
0;9772;0;2;0.145623;54.4175
0;9775;0;2;0.14593;54.5397
0;9792;0;2;0.147668;54.6621
0;9807;0;2;0.149199;54.7847
0;9808;0;2;0.149301;54.9073
0;9863;0;2;0.154893;55.0306
0;9874;0;2;0.156007;55.154
0;9881;0;2;0.156716;55.2775
0;9893;0;2;0.15793;55.4012
0;9910;0;2;0.159647;55.5251
0;9916;0;2;0.160252;55.649
0;9933;0;2;0.161965;55.7732
0;9950;0;2;0.163675;55.8976
